公司,店名,地址,電話,經度,緯度,廁所,ATM,座位區
全家,新竹客進,新竹市北區經國路二段５４９號,03-5250228,120.955341,24.803547,1,0,1
全家,新竹牛埔,新竹市香山區經國路３段９０號,03-5301956,120.953216,24.798172,0,0,0
全家,新竹綠光,新竹市東區綠水路６３號１樓及地下室,03-5717181,120.983776,24.800524,1,0,1
全家,新竹聯發科,新竹市東區篤行一路８號,03-5783195,121.024152,24.769046,0,0,0
全家,新竹聯發二,新竹市東區篤行一路２號２樓,03-5797735,121.024681,24.768015,0,0,0
全家,新竹龍山,新竹市東區龍山東路２２８號１樓,03-6687058,121.012357,24.78883,0,0,1
全家,新竹關新,新竹市東區關新東路３５０號１樓,03-5679359,121.02038,24.786186,1,0,1
全家,新竹寶山,新竹市東區寶山路４４８號１樓,03-5779007,120.990491337,24.7847276825,0,1,1
全家,新竹鐵支,新竹市東區鐵道路一段２８巷７９號１樓,03-5347461,120.9865836,24.8108714,1,1,1
Hi-Life,新竹南隘店,300新竹市香山區南隘路二段128號壹樓部份,03-5373010,120.9355216,24.7292231,0,1,0
Hi-Life,竹塹交大店,300新竹市東區大學路１００１號研三舍餐廳,03-5713450,120.9970692,24.7839004,0,0,0
Hi-Life,新竹牛埔店,300新竹市香山區牛埔路193、195號,03-5396760,120.9496487,24.7999894,0,1,0
Hi-Life,新竹浸水店,300新竹市香山區浸水街365號,03-5300802,120.9272639,24.7989259,0,1,0
Hi-Life,竹塹昌林店,300新竹市東區林森路46號,03-5278036,120.9680023,24.8017006,0,1,0
Hi-Life,竹塹慈雲店,300新竹市東區埔頂路71號,03-6668456,121.0080032,24.7945995,0,1,0
Hi-Life,竹塹四維店,300新竹市北區四維路91號,03-5287322,120.9604300,24.8012655,0,1,0
Hi-Life,竹塹成功店,300新竹市北區成功路163號,03-5424328,120.9540024,24.8134003,0,1,0
Hi-Life,竹塹族權店,"300新竹市東區民族路74號,民權路72號",03-5312470,120.9759979,24.8069992,0,1,0
Hi-Life,竹塹文武昌,300新竹市東區文昌街69號、武昌街79號,03-5220279,120.9670029,24.8022995,0,1,0
Hi-Life,香山富群店,300新竹市香山區富群街19、21號,03-5297606,120.9570007,24.7689991,0,1,0
Hi-Life,竹塹國泰店,300新竹市東區中華路二段738號壹樓,03-5278931,120.9639543,24.7974833,0,1,0
Hi-Life,香山樹裏院,300新竹市香山區南隘里南隘路二段40、42號全部,03-5182572,120.9293753,24.7259759,0,1,0
Hi-Life,香山大庄店,300新竹市香山區大庄路145號壹樓,03-5399839,120.9255867,24.7921988,0,1,0
Hi-Life,竹塹水利店,300新竹市東區水利路77、79號一樓,03-5730582,121.0059967,24.8040009,0,1,0
Hi-Life,竹塹康橋店,300新竹市東區明湖路712號,03-5200347,120.9660034,24.7726002,0,1,0
Hi-Life,竹塹錦華店,300新竹市東區中央路183號,03-5350301,120.9729996,24.8087006,0,1,0
Hi-Life,竹塹光華店,300新竹市北區光華二街72巷2號,03-5430984,120.9759979,24.8194008,0,1,0
Hi-Life,新竹竹沐店,300新竹市東區經國路一段379巷1號,03-5425215,120.9789963,24.8143997,0,1,0
Hi-Life,竹塹凱旋店,300新竹市東區振興路79、81號,03-6590689,120.9619980,24.7949009,0,1,0
Hi-Life,竹塹公園店,300新竹市東區光復路二段962號1樓,03-5624111,120.9800034,24.8036995,0,1,0
Hi-Life,新竹竹中店,300新竹市東區光復路一段32、34號,03-5639607,121.0260010,24.7812996,0,1,0
Hi-Life,竹塹建中店,300新竹市東區建中一路2號,03-5748648,120.9940033,24.8006992,0,1,0
Hi-Life,竹塹北大公園,300新竹市北區北大路156號,03-6591205,120.9680638,24.8099712,0,1,0
Hi-Life,新竹基地店,300新竹市北區中正路808、810號,03-5423633,120.9532687,24.8204660,0,1,0
Hi-Life,竹塹武陵高,300新竹市北區武陵路123號,03-5152283,120.9670029,24.8197994,0,1,0
Hi-Life,竹塹米粉寮,300新竹市北區延平路一段393號,03-5241218,120.9489975,24.8048992,0,1,0
Hi-Life,竹塹歡樂店,300新竹市東區中華路二段206號,03-5439817,120.9769974,24.8059006,0,1,0
Hi-Life,竹塹大蓮店,300新竹市東區南大路299、301號,03-5610091,120.9706135,24.7981065,0,1,0
Hi-Life,香山有山水,300新竹市香山區大湖路73號,03-5373309,120.9186853,24.7605972,0,1,0
Hi-Life,新竹五福店,300新竹市香山區五福路一段486號,03-5372959,120.9317705,24.7450068,0,1,0
Hi-Life,竹塹花漾店,300新竹市北區崧嶺路14、16、18號,03-6590001,120.9560013,24.7957993,0,1,0
Hi-Life,竹塹關新店,300新竹市東區關東路125號,03-6591001,121.0208803,24.7867448,0,1,0
Hi-Life,新竹創聯店,300新竹市東區科學園區力行六路2、6、10號,03-5670161,121.0148137,24.7739249,0,1,0
Hi-Life,竹塹科園店,300新竹市東區科學園路151號及光復路一段531巷132、136號,03-5770361,121.0118005,24.7830409,0,1,0
Hi-Life,竹塹境福店,300新竹市北區境福街128號,03-5348834,120.9609985,24.8188000,0,1,0
Hi-Life,新竹竹塹店,300新竹市北區中山路414號,03-5266358,120.9580002,24.8003998,0,1,0
Hi-Life,竹塹古奇峰,300新竹市東區高峰路386巷5號,03-5626473,120.9810028,24.7796001,0,1,0
Hi-Life,竹塹集和店,300新竹市北區西大路491、491-1號+集和街84號,03-5278631,120.9629974,24.8054008,0,1,0
Hi-Life,新竹護城河,300新竹市東區信義街68號壹樓全部,03-5221729,120.9704965,24.8029142,0,1,0
Hi-Life,香山牛埔南,300新竹市香山區牛埔南路180號壹樓,03-5383763,120.9375166,24.7965859,0,1,0
Hi-Life,香山鹽水港,300新竹市香山區內湖路80、82號,03-5181852,120.9058519,24.7435532,0,1,0
Hi-Life,竹塹新西大,300新竹市東區西大路121號壹樓,03-5620791,120.9699706,24.7964809,0,1,0
Hi-Life,香山美森店,300新竹市香山區大庄里17鄰香北一路110、116號,03-6590116,120.9240036,24.7910004,0,1,0
Hi-Life,竹塹成德店,300新竹市北區成德路89、91號,03-6590075,120.9580002,24.7945004,0,1,0
Hi-Life,竹塹竹翠店,300新竹市東區高翠路172-2號,03-5629418,120.9869995,24.7810993,0,1,0
Hi-Life,竹塹水仙店,300新竹市東區園區二路325號,03-6662170,121.0199156,24.7571595,0,1,0
Hi-Life,竹塹港北店,300新竹市北區延平路三段147、149號壹樓部份,03-5368232,120.9283176,24.8301103,0,0,0
Hi-Life,竹塹靜心湖,300新竹市東區光復路一段525巷13號壹樓,03-6687283,121.0135959,24.7841752,0,1,0
Hi-Life,竹塹梅竹店,300新竹市東區大學路200號壹樓及壹樓夾層,03-5740282,120.9999898,24.7896121,0,1,0
Hi-Life,竹塹長和店,300新竹市北區北門街153號壹樓,03-5242546,120.9651950,24.8092228,0,1,0
Hi-Life,竹塹埔頂店,300新竹市東區埔頂路586號,03-6590062,121.0179977,24.7910004,0,1,0
Hi-Life,竹塹大學店,300新竹市東區大學路16號,03-6591002,121.0025395,24.7891925,0,1,0
Hi-Life,香山三姓橋,300新竹市香山區元培街92號,03-6590253,120.9297772,24.7857879,0,1,0
Hi-Life,香山空軍店,300新竹市香山區延平路二段319、321、323號,03-6591059,120.9347603,24.8076680,0,1,0
Hi-Life,竹塹藍海店,300新竹市北區榮濱路81號,03-6591052,120.9308775,24.8429886,0,1,0
Hi-Life,竹塹興學店,300新竹市東區興學街117、119、121號,03-5622624,120.9670029,24.7961998,0,1,0
Hi-Life,竹塹竹群店,300新竹市東區金山23街36、38號,03-6687108,121.0270004,24.7758999,0,1,0
Hi-Life,竹塹馬偕店,300新竹市東區光復路二段275-1號,03-5715432,120.9899979,24.7999001,0,1,0
Hi-Life,竹塹竹勇店,300新竹市北區中和路146號壹樓,03-5233650,120.9550018,24.8024006,0,1,0
Hi-Life,竹塹大遠百,300新竹市北區西門街78號,03-5278813,120.9644506,24.8022598,0,1,0
Hi-Life,竹塹東美店,300新竹市東區東美路１６８號,03-6590509,121.0049973,24.8015995,0,1,0
OKmart,新竹空軍門市,新竹市北區中正路699號,03-6106032,120.9523084,24.8208605,0,0,0
OKmart,香山富禮店,新竹市香山區富禮街1號1樓,03-6106043,120.9136160,24.7643160,0,0,0
OKmart,新竹忠孝店,新竹市東區忠孝路213號,03-6106243,120.9884312,24.8054653,0,1,0
OKmart,新竹女中門市,新竹市東區中華路２段270號1樓,03-6107172,120.9756282,24.8047755,0,0,0
OKmart,新竹高中門市,新竹市東區學府路36號,03-6105082,120.9826020,24.7944856,0,0,0
OKmart,竹科創新門市,新竹市東區創新三路2號1樓,03-6105930,121.0010032,24.7787573,0,0,0
OKmart,新竹高商門市,新竹市東區學府路128號,03-6105681,120.9835528,24.7956172,0,0,0
OKmart,新竹監理站門市,新竹市東區自由路10號,03-6105135,120.9832109,24.8108526,0,0,0
OKmart,新竹磐石中學門市,新竹市北區西大路683號(校內孝親樓1F),03-6105103,120.9592629,24.8097947,0,0,0
